"Code","Stock","Prv Close","High","Low","Last","Vol","Status","P/E","EPS*","MACD (26, 12)","Vol MA (20)","DY*","Y-Low","Y-High","RSI (14)","Open","Sector","Chg","B%"
="03041","1TECH","0.020","-","-","","0","Active","","","","-","","0.020","0.030","0%","","705","","-"
="0012","3A","0.680","0.685","0.680","0.685","1613","Active","7.97","8.70","-0.004","256350","5.55%","0.680","0.790","41%","0.680","101","+0.005","32"
="0328","3REN","0.310","0.315","0.300","0.300","7608","Active","22.99","1.35","-0.013","931245","2.50%","0.200","0.480","38%","0.310","405","-0.010","18"
="5326","99SMART","3.450","3.570","3.460","3.550","75677","Active","48.55","7.31","-0.098","15938050","1.27%","1.920","4.150","31%","3.460","101","+0.100","46"
="532610","99SMART-C10","0.160","-","-","","0","Active","","","0.022","6680","","0.070","0.255","53%","","301","","-"
="532611","99SMART-C11","0.380","-","-","","0","Active","","","0.021","460975","","0.125","0.555","36%","","301","","-"
="532612","99SMART-C12","0.315","-","-","","0","Active","","","0.044","47715","","0.075","0.335","76%","","301","","-"
="532613","99SMART-C13","-","-","-","","0","Delisted","","","0.020","48075","","0.065","0.550","38%","","301","","-"
="532614","99SMART-C14","0.260","-","-","","0","Active","","","0.027","10935","","0.085","0.415","33%","","301","","-"
="532615","99SMART-C15","0.385","-","-","","0","Active","","","0.034","297700","","0.090","0.510","54%","","301","","-"
="532616","99SMART-C16","0.210","0.225","0.220","0.225","6","Active","","","-0.005","56725","","0.100","0.415","35%","0.220","301","+0.015","50"
="532617","99SMART-C17","0.080","0.090","0.085","0.090","61","Active","","","-0.016","10415","","0.070","0.180","25%","0.085","301","+0.010","51"
="532618","99SMART-C18","0.160","-","-","","0","Active","","","-0.008","167510","","0.065","0.380","33%","","301","","-"
="532619","99SMART-C19","0.145","-","-","","0","Active","","","0.016","400085","","0.100","0.310","41%","","301","","-"
="532620","99SMART-C20","0.030","0.040","0.040","0.040","1005","Active","","","-0.018","889390","","0.030","0.130","22%","0.040","301","+0.010","100"
="532621","99SMART-C21","0.085","0.100","0.090","0.100","760","Active","","","-0.016","65200","","0.070","0.210","26%","0.090","301","+0.015","50"
="532622","99SMART-C22","0.035","0.040","0.040","0.040","30040","Active","","","-0.009","1584985","","0.035","0.100","22%","0.040","301","+0.005","-"
="532623","99SMART-C23","0.110","0.125","0.105","0.120","13776","Active","","","-0.027","2087780","","0.090","0.285","28%","0.105","301","+0.010","46"
="532624","99SMART-C24","0.170","0.210","0.175","0.205","39097","Active","","","-0.043","5386475","","0.135","0.465","28%","0.175","301","+0.035","59"
="532625","99SMART-C25","0.065","0.080","0.070","0.080","600","Active","","","-0.022","240610","","0.060","0.200","23%","0.070","301","+0.015","17"
="532626","99SMART-C26","0.055","0.070","0.065","0.070","6452","Active","","","-0.021","826605","","0.045","0.195","27%","0.065","301","+0.015","73"
="532627","99SMART-C27","0.045","0.055","0.045","0.050","33086","Active","","","","3449755","","0.040","0.135","29%","0.045","301","+0.005","95"
="532628","99SMART-C28","0.040","0.040","0.040","0.040","46401","Active","","","","4388785","","0.035","0.100","29%","0.040","301","-","44"
="532629","99SMART-C29","0.045","0.050","0.045","0.050","8820","Active","","","","246650","","0.040","0.110","31%","0.045","301","+0.005","95"
="532630","99SMART-C30","0.045","0.060","0.050","0.055","11640","Active","","","","-","","0.040","0.130","0%","0.050","301","+0.010","38"
="532631","99SMART-C31","0.030","0.035","0.030","0.030","6001","Active","","","","-","","0.025","0.095","32%","0.030","301","-","70"
="532632","99SMART-C32","0.025","-","-","","0","Active","","","","-","","0.025","0.050","0%","","301","","-"
="5326C4","99SMART-C4","0.275","-","-","","0","Active","","","0.016","142650","","0.070","0.390","40%","","301","","-"
="5326C6","99SMART-C6","-","-","-","","0","Delisted","","","0.037","768150","","0.075","0.850","59%","","301","","-"
="5326C7","99SMART-C7","0.200","-","-","","0","Active","","","0.033","551050","","0.060","0.220","69%","","301","","-"
="5326C9","99SMART-C9","0.290","-","-","","0","Active","","","","-","","0.110","0.315","82%","","301","","-"
="0365","A1AKK","0.210","0.205","0.200","0.200","6856","Active","27.93","0.82","-0.003","114295","","0.190","0.255","25%","0.205","401","-0.010","24"
="0703CK","A50CHIN-CK","0.030","-","-","","0","Active","","","-0.027","390345","","0.025","0.305","29%","","358","","-"
="0703CL","A50CHIN-CL","0.055","-","-","","0","Active","","","","-","","0.055","0.080","0%","","358","","-"
="0703CM","A50CHIN-CM","0.145","0.155","0.155","0.155","16000","Active","","","","-","","0.140","0.145","0%","0.155","358","+0.010","75"
="07031A","A50CHIN-H1A","0.060","-","-","","0","Active","","","","-","","0.060","0.185","40%","","358","","-"
="03067","AAI","0.230","-","-","","0","Active","","","","-","","0.190","0.230","0%","","702","","-"
="7054","AASIA","0.085","-","-","","0","Active","","-0.45","-0.002","23300","","0.075","0.110","25%","","125","","-"
="5238","AAX","1.750","1.790","1.690","1.700","224443","Active","29.80","42.90","0.018","16809280","","1.230","2.330","41%","1.760","101","-0.050","39"
="523829","AAX-C29","-","-","-","","0","Delisted","","","0.001","305655","","0.035","0.240","27%","","301","","-"
="523830","AAX-C30","0.045","0.050","0.040","0.040","8200","Active","","","-0.002","2679370","","0.045","0.150","38%","0.050","301","-0.005","4"
="523831","AAX-C31","0.080","0.090","0.075","0.075","87406","Active","","","","4662525","","0.075","0.220","37%","0.085","301","-0.005","50"
="523832","AAX-C32","0.160","0.175","0.145","0.145","31790","Active","","","0.003","5504455","","0.115","0.430","43%","0.165","301","-0.015","37"
="523833","AAX-C33","0.045","0.045","0.040","0.040","2900","Active","","","","-","","0.045","0.075","40%","0.045","301","-0.005","-"
="523834","AAX-C34","0.055","0.055","0.045","0.045","31100","Active","","","","-","","0.055","0.100","0%","0.055","301","-0.010","18"
="523835","AAX-C35","0.065","0.075","0.060","0.060","30455","Active","","","","-","","0.065","0.150","0%","0.070","301","-0.005","41"
="523836","AAX-C36","0.040","0.050","0.035","0.035","4790","Active","","","","-","","0.040","0.115","0%","0.050","301","-0.005","51"
="5238WB","AAX-WB","0.870","0.905","0.835","0.835","27614","Active","","","0.089","4145815","","0.350","1.200","48%","0.875","101","-0.035","40"
="0800EA","ABFMY1","1.238","1.238","1.238","1.238","3","Active","","","0.001","28165","","1.190","1.300","75%","1.238","657","-","-"
="7167","ABLEGLOB","1.660","1.660","1.630","1.640","1302","Active","7.04","23.18","0.006","101465","4.73%","1.260","1.700","48%","1.660","101","-0.020","14"
